dataset,hyperparameter_setting_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,method,min
sulfur,30,3,0.0001,0.001,6,64,70,0.0001,Pr-QQ,0.3713904326898046
sulfur,2,3,0.0,0.0001,5,512,70,0.001,Bw-MQ,0.2894355691038072
sulfur,33,3,0.0,0.0001,5,4096,30,0.0001,Bw-QQ,0.3811281705508008
sulfur,13,3,0.0,0.001,5,512,70,0.001,SQ,0.2156880775699391
sulfur,23,3,0.0001,0.001,5,1024,50,0.0001,Bw-SQ,0.2363993486855178
sulfur,19,4,0.0,0.001,5,512,70,0.0001,FP,0.0992697919136844
sulfur,1,4,0.0,0.0001,5,1024,50,0.0001,Po-MQ,0.2323387594660743
sulfur,27,4,0.0001,0.0001,5,1024,70,0.0001,Po-QQ,0.4104368298896588
sulfur,48,4,0.0,0.0001,6,1024,70,0.0001,Pr-MQ,0.1687791391275822
sulfur,42,4,0.0,0.0001,8,256,70,0.0001,Pr-QQ,0.2440107596339657
sulfur,15,4,0.0,0.0001,6,4096,70,0.0001,Bw-MQ,0.1704031986882909
sulfur,47,4,0.0,0.0001,6,2048,50,0.001,Bw-QQ,0.2281220083357766
sulfur,49,4,0.0,0.001,5,2048,70,0.001,SQ,0.1841134430374949
sulfur,21,4,0.0001,0.001,5,2048,50,0.001,Bw-SQ,0.1510515873786061
sulfur,26,5,0.0,0.0001,6,256,70,0.0001,FP,0.1001260912860743
sulfur,38,5,0.0,0.001,6,512,70,0.0001,Po-MQ,0.1366328659467398
sulfur,20,5,0.0,0.001,8,64,70,0.0001,Po-QQ,0.2611716673360206
sulfur,49,5,0.0001,0.0001,6,8192,70,0.001,Pr-MQ,0.1360526318894698
sulfur,26,5,0.0,0.0001,6,256,70,0.0001,Pr-QQ,0.2093970477115362
sulfur,47,5,0.0,0.0001,5,2048,50,0.001,Bw-MQ,0.1298392249504104
sulfur,25,5,0.0,0.0001,5,1024,70,0.0001,Bw-QQ,0.1573300544987432
sulfur,14,5,0.0,0.001,6,2048,70,0.001,SQ,0.1600933570414781
sulfur,13,5,0.0001,0.001,5,4096,70,0.001,Bw-SQ,0.1212251333869062
sulfur,29,6,0.0001,0.0001,8,512,70,0.001,FP,0.0985913741751573
sulfur,18,6,0.0,0.0001,6,2048,70,0.0001,Po-MQ,0.1042174516944214
sulfur,10,6,0.0,0.0001,8,512,50,0.001,Po-QQ,0.1388391555054113
